2023/09/18 14:32:01 [INFO] 連線中斷
2023/09/18 14:32:04 [INFO] Connect Success
2023/09/18 14:32:08 [INFO] Receive Message:{"Code":0,"Ret":"Login","Message":"success","Data":{"Gold":999991,"IconID":0,"Name":"Test_simon","UserId":88342761,"MatchGameCode":"","MatchGameTableId":0,"Version":"1.0.0","Marquee":null,"is_relogin":false}}
2023/09/18 14:32:10 [ERROR] read tcp [::1]:54098->[::1]:10001: use of closed network connection
2023/09/18 14:32:10 [INFO] 連線中斷
2023/09/18 14:32:19 [INFO] Connect Success
2023/09/18 14:32:27 [INFO] Receive Message:{"Code":0,"Ret":"Login","Message":"success","Data":{"Gold":999991,"IconID":0,"Name":"Test_simon","UserId":88342761,"MatchGameCode":"","MatchGameTableId":0,"Version":"1.0.0","Marquee":null,"is_relogin":false}}
2023/09/18 14:32:30 [INFO] Receive Message:{"Ret":"DebugMatchType","Data":{"matchtype":0}}
2023/09/18 14:32:30 [INFO] Receive Message:{"Code":0,"Ret":"JoinGame","Message":"success","Data":{"Gid":"","BankerCards":[],"BankerCardPoint":0,"BetLimit":[[3,300]],"Chips":[3,15,30,75,150,300],"RemainSec":1,"BetInfo":{},"TableCards":{},"PlayerInfo":[{"seatId":3,"iconId":0,"name":"Test_simon","gold":999991,"IsBetFinish":false,"IsDouble":[false,false],"isSitDown":true,"point":[0,0],"is21Point":[false,false],"isFiveDragon":[false,false],"isBlackJack":[false,false],"bust":[false,false],"isSetInsurance":false,"isInsurance":false,"insuranceGold":0,"parentSeat":3}],"Fsm":"Init","TokenPlayerSeatInfo":{"seatId":-1,"splittime":0},"result":[]}}
2023/09/18 14:32:31 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Match","Gid":"2001-1703658241994526720","RemainSec":3}}
2023/09/18 14:32:34 [INFO] Receive Message:{"Ret":"ActTableStatus","Data":{"tablePlayerInfo":[{"seatId":1,"iconId":0,"name":"****ett","gold":180563,"isSitDown":true},{"seatId":2,"iconId":3,"name":"****e04","gold":104692,"isSitDown":true},{"seatId":3,"iconId":0,"name":"****mon","gold":999991,"isSitDown":true},{"seatId":4,"iconId":100,"name":"****ram","gold":117362,"isSitDown":true}]}}
2023/09/18 14:32:34 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Bet","Gid":"2001-1703658241994526720","RemainSec":20}}
2023/09/18 14:32:36 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":1,"name":"****ett","parentSeat":1},{"seatId":2,"name":"****e04","parentSeat":2},{"seatId":3,"name":"****mon","parentSeat":3},{"seatId":4,"name":"****ram","parentSeat":4}]}}
2023/09/18 14:32:36 [INFO] Receive Message:{"Ret":"ActTableBetData","Data":{"tableBetData":[{"seatId":1,"bet":[165,0],"Gold":180398},{"seatId":2,"bet":[0,0],"Gold":104692},{"seatId":3,"bet":[0,0],"Gold":999991},{"seatId":4,"bet":[0,0],"Gold":117362}]}}
2023/09/18 14:32:36 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":1,"name":"****ett","parentSeat":1},{"seatId":2,"name":"****e04","parentSeat":2},{"seatId":3,"name":"****mon","parentSeat":3},{"seatId":4,"name":"****ram","parentSeat":4}]}}
2023/09/18 14:32:36 [INFO] Receive Message:{"Ret":"ActTableBetData","Data":{"tableBetData":[{"seatId":1,"bet":[165,0],"Gold":180398},{"seatId":2,"bet":[0,0],"Gold":104692},{"seatId":3,"bet":[0,0],"Gold":999991},{"seatId":4,"bet":[183,0],"Gold":117179}]}}
2023/09/18 14:32:36 [INFO] Receive Message:{"Ret":"ActBetFinish","Data":{"seatId":1}}
2023/09/18 14:32:36 [INFO] Receive Message:{"Ret":"ActBetFinish","Data":{"seatId":4}}
2023/09/18 14:32:39 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":1,"name":"****ett","parentSeat":1},{"seatId":2,"name":"****e04","parentSeat":2},{"seatId":3,"name":"****mon","parentSeat":3},{"seatId":4,"name":"****ram","parentSeat":4}]}}
2023/09/18 14:32:39 [INFO] Receive Message:{"Ret":"ActTableBetData","Data":{"tableBetData":[{"seatId":1,"bet":[165,0],"Gold":180398},{"seatId":2,"bet":[30,0],"Gold":104662},{"seatId":3,"bet":[0,0],"Gold":999991},{"seatId":4,"bet":[183,0],"Gold":117179}]}}
2023/09/18 14:32:39 [INFO] Receive Message:{"Ret":"ActBetFinish","Data":{"seatId":2}}
2023/09/18 14:32:54 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Deal","Gid":"2001-1703658241994526720","RemainSec":3}}
2023/09/18 14:32:54 [INFO] Receive Message:{"Ret":"ActGold","Data":{"Gold":999988}}
2023/09/18 14:32:54 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":1,"name":"****ett","parentSeat":1},{"seatId":2,"name":"****e04","parentSeat":2},{"seatId":3,"name":"****mon","parentSeat":3},{"seatId":4,"name":"****ram","parentSeat":4}]}}
2023/09/18 14:32:54 [INFO] Receive Message:{"Ret":"ActTableBetData","Data":{"tableBetData":[{"seatId":1,"bet":[165,0],"Gold":180398},{"seatId":2,"bet":[30,0],"Gold":104662},{"seatId":3,"bet":[3,0],"Gold":999988},{"seatId":4,"bet":[183,0],"Gold":117179}]}}
2023/09/18 14:32:54 [INFO] Receive Message:{"Ret":"ActDealCard","Data":{"bankerCards":[13,-1],"playerCards":[[],[28,47],[27,35],[24,14],[38,14]],"point":[0,12,12,12,12]}}
2023/09/18 14:32:55 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Insurance","Gid":"2001-1703658241994526720","RemainSec":10}}
2023/09/18 14:33:05 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703658241994526720","RemainSec":20}}
2023/09/18 14:33:05 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":1}}
2023/09/18 14:33:06 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":1,"card":14,"bust":false,"point":14,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:33:08 [INFO] Receive Message:{"Ret":"ActHitCard","Data":{"seatId":1,"card":36,"bust":true,"point":24,"is21Point":false,"isFiveDragon":false,"isBlackJack":false}}
2023/09/18 14:33:10 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Play","Gid":"2001-1703658241994526720","RemainSec":20}}
2023/09/18 14:33:10 [INFO] Receive Message:{"Ret":"ActTokenPlayerSeat","Data":{"SeatId":2}}
