2023/12/22 16:09:19 [INFO] 連線中斷
2023/12/22 16:09:23 [ERROR] 未選擇環境
2023/12/22 16:09:27 [INFO] Connect Success
2023/12/22 16:09:33 [INFO] Receive Message:{"Code":0,"Ret":"Login","Message":"Success.","Data":{"Gold":1000000,"IconID":0,"Name":"Test_Simon","UserId":80481157,"MatchGameCode":"","MatchGameTableId":0,"Version":"1.0.0","Marquee":null,"is_relogin":false,"JackpotInfo":{"coin":false,"coinId":"","coinexpiretime":0,"pool":10000},"JackpotEnable":true,"Language":{"1":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":1},"1001":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"1002":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"1003":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"1004":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"1005":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"1006":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"1007":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"1008":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"1009":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"2001":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"2002":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"2003":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"2004":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"2005":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"2006":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"2007":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"2008":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"2009":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"2010":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":1},"2011":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"3001":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"3002":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"3003":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"4001":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"9001":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0}},"wallet_type":0,"single_wallet_gold":0}}
2023/12/22 16:09:37 [INFO] Receive Message:{"Ret":"DebugMatchType","Data":{"matchtype":0}}
2023/12/22 16:09:37 [INFO] Receive Message:{"Code":0,"Ret":"JoinGame","Message":"Success.","Data":{"Gid":"","BankerCards":[],"BankerCardPoint":0,"BetLimit":[[3,300]],"Chips":[3,15,30,75,150,300],"RemainSec":1,"BetInfo":{},"TableCards":{},"PlayerInfo":[{"seatId":0,"iconId":0,"name":"Test_Simon","gold":1000000,"IsBetFinish":false,"IsDouble":[false,false],"isSitDown":true,"point":[0,0],"is21Point":[false,false],"isFiveDragon":[false,false],"isBlackJack":[false,false],"bust":[false,false],"isSetInsurance":false,"isInsurance":false,"insuranceGold":0,"parentSeat":0}],"Fsm":"Init","TokenPlayerSeatInfo":{"seatId":-1,"splittime":0},"result":[]}}
2023/12/22 16:09:38 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Match","Gid":"2001-1738109527825321984","RemainSec":3,"TimeStamp":1703232578604}}
2023/12/22 16:09:41 [INFO] Receive Message:{"Ret":"ActTableStatus","Data":{"tablePlayerInfo":[{"seatId":0,"iconId":0,"name":"****mon","gold":1000000,"isSitDown":true},{"seatId":2,"iconId":102,"name":"****ata","gold":5684.1,"isSitDown":true},{"seatId":4,"iconId":6,"name":"****Mae","gold":21227,"isSitDown":true}]}}
2023/12/22 16:09:41 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Bet","Gid":"2001-1738109527825321984","RemainSec":20,"TimeStamp":1703232581607}}
2023/12/22 16:09:42 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":0,"name":"****mon","parentSeat":0},{"seatId":2,"name":"****ata","parentSeat":2},{"seatId":4,"name":"****Mae","parentSeat":4}]}}
2023/12/22 16:09:42 [INFO] Receive Message:{"Ret":"ActTableBetData","Data":{"tableBetData":[{"seatId":0,"bet":[0,0],"Gold":1000000},{"seatId":2,"bet":[30,0],"Gold":5654.1},{"seatId":4,"bet":[0,0],"Gold":21227}]}}
2023/12/22 16:09:42 [INFO] Receive Message:{"Ret":"ActBetFinish","Data":{"seatId":2}}
