2024/04/01 08:36:27 [ERROR] read tcp [::1]:65198->[::1]:10001: wsarecv: An existing connection was forcibly closed by the remote host.
2024/04/01 14:23:46 [INFO] 連線中斷
2024/04/01 14:23:57 [INFO] Connect Success
2024/04/01 14:24:01 [INFO] Receive Message:{"Code":0,"Ret":"Login","Message":"Success.","Data":{"Gold":999997,"IconID":0,"Name":"Test_simon","UserId":88149641,"MatchGameCode":"","MatchGameTableId":0,"Version":"1.0.0","Marquee":null,"is_relogin":false,"JackpotInfo":{"coin":false,"coinId":"","coinexpiretime":0,"pool":10000},"JackpotEnable":false,"Language":{"1":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":1},"1001":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1002":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1003":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1004":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1005":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1006":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1007":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1008":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":1},"1009":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"1010":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"2001":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":1},"2002":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2003":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2004":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":1},"2005":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2006":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2007":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2008":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2009":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"2010":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":1},"2011":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"3001":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"3002":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"3003":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"4001":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0},"4002":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"4003":{"CN":1,"EN":1,"VI":1,"PT":0,"TR":0},"9001":{"CN":1,"EN":1,"VI":1,"PT":1,"TR":0}},"wallet_type":0,"single_wallet_gold":0}}
2024/04/01 14:24:08 [INFO] Receive Message:{"Ret":"DebugMatchType","Data":{"matchtype":0}}
2024/04/01 14:24:08 [INFO] Receive Message:{"Code":0,"Ret":"JoinGame","Message":"Success.","Data":{"Gid":"","BankerCards":[],"BankerCardPoint":0,"BetLimit":[[3,300]],"Chips":[3,15,30,75,150,300],"RemainSec":1,"BetInfo":{},"TableCards":{},"PlayerInfo":[{"seatId":1,"iconId":0,"name":"Test_simon","gold":999997,"IsBetFinish":false,"IsDouble":[false,false],"isSitDown":true,"point":[0,0],"is21Point":[false,false],"isFiveDragon":[false,false],"isBlackJack":[false,false],"bust":[false,false],"isSetInsurance":false,"isInsurance":false,"insuranceGold":0,"parentSeat":1}],"Fsm":"Init","TokenPlayerSeatInfo":{"seatId":-1,"splittime":0},"result":[]}}
2024/04/01 14:24:09 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Match","Gid":"2001-1774684155095814144","RemainSec":3,"TimeStamp":1711952649262}}
2024/04/01 14:24:12 [INFO] Receive Message:{"Ret":"ActTableStatus","Data":{"tablePlayerInfo":[{"seatId":0,"iconId":104,"name":"****cia","gold":29346.7,"isSitDown":true},{"seatId":1,"iconId":0,"name":"****mon","gold":999997,"isSitDown":true},{"seatId":2,"iconId":107,"name":"****a96","gold":17644.9,"isSitDown":true},{"seatId":3,"iconId":107,"name":"****nna","gold":12272,"isSitDown":true}]}}
2024/04/01 14:24:12 [INFO] Receive Message:{"Ret":"ActGamePeriod","Data":{"Fsm":"Bet","Gid":"2001-1774684155095814144","RemainSec":20,"TimeStamp":1711952652259}}
2024/04/01 14:24:14 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":0,"name":"****cia","parentSeat":0},{"seatId":1,"name":"****mon","parentSeat":1},{"seatId":2,"name":"****a96","parentSeat":2},{"seatId":3,"name":"****nna","parentSeat":3}]}}
2024/04/01 14:24:14 [INFO] Receive Message:{"Ret":"ActTableBetData","Data":{"tableBetData":[{"seatId":0,"bet":[165,0],"Gold":29181.7},{"seatId":1,"bet":[0,0],"Gold":999997},{"seatId":2,"bet":[0,0],"Gold":17644.9},{"seatId":3,"bet":[0,0],"Gold":12272}]}}
2024/04/01 14:24:14 [INFO] Receive Message:{"Ret":"ActBetFinish","Data":{"seatId":0}}
2024/04/01 14:24:15 [INFO] Receive Message:{"Ret":"ActSeatOwner","Data":{"seatOwner":[{"seatId":0,"name":"****cia","parentSeat":0},{"seatId":1,"name":"****mon","parentSeat":1},{"seatId":2,"name":"****a96","parentSeat":2},{"seatId":3,"name":"****nna","parentSeat":3}]}}
